,email_open_rate,time_in_product_mins,country_AU,devices_Desktop,referrer_channels_Direct,referrer_channels_None,referrer_channels_Organic,campaigns_au_nz_eofy,campaigns_au_nz_mobile_product_launch,industries_Construction,industries_Education,industries_Finance,industries_Healthcare,industries_Hospitality
39211,17.0,20.67,0,1,0,0,0,1,0,0,0,1,0,0
22797,40.0,19.54,1,0,0,0,0,0,1,0,0,0,1,0
2312,69.0,84.76,0,0,0,0,0,0,1,1,0,0,0,0
44930,54.0,16.37,0,1,0,0,0,1,0,0,0,1,0,0
30218,42.0,20.6,0,1,1,0,0,0,0,1,0,0,0,0
27459,86.0,18.31,1,1,0,0,1,1,0,1,0,0,0,0
44245,45.0,11.45,0,0,1,0,0,0,1,0,1,0,0,0
33730,22.0,62.04,0,0,0,0,1,0,1,1,0,0,0,0
21961,40.0,69.01,0,0,0,0,0,0,1,0,0,0,1,0
22136,78.0,68.53,1,1,0,0,1,1,0,0,0,1,0,0
17146,99.0,14.23,0,0,0,0,0,0,1,1,0,0,0,0
19266,25.0,22.46,0,1,0,1,0,1,0,0,0,1,0,0
21420,98.0,14.36,1,0,0,0,0,0,1,1,0,0,0,0
27246,58.0,72.05,0,0,1,0,0,1,0,0,0,1,0,0
27188,86.0,18.51,0,1,0,1,0,1,0,0,1,0,0,0
34380,12.0,68.5,0,1,0,0,0,1,0,0,0,1,0,0
27447,39.0,15.84,1,1,0,0,0,0,0,0,0,0,1,0
49443,47.0,20.11,0,0,0,0,0,0,1,0,0,0,0,1
29493,34.0,71.53,0,0,0,0,0,0,1,0,1,0,0,0
37974,14.0,15.34,1,1,1,0,0,0,0,1,0,0,0,0
1684,45.0,22.28,0,0,1,0,0,0,1,0,1,0,0,0
25500,33.0,19.24,0,1,1,0,0,0,0,0,0,0,1,0
24343,40.0,17.34,0,1,0,1,0,1,0,0,0,1,0,0
31521,54.0,21.91,0,1,1,0,0,0,0,0,0,0,1,0
2915,20.0,19.77,1,0,0,0,1,0,1,1,0,0,0,0
9121,32.0,64.97,1,0,0,0,1,0,1,0,0,1,0,0
17306,3.0,15.67,0,1,0,0,1,0,0,0,1,0,0,0
31760,21.0,22.77,0,1,0,0,1,0,0,1,0,0,0,0
41679,48.0,21.11,0,0,0,0,0,0,1,1,0,0,0,0
24197,22.0,63.85,0,1,0,0,1,1,0,0,0,0,1,0
43327,36.0,20.02,0,0,0,0,0,0,1,0,0,0,1,0
34883,78.0,22.88,0,0,0,0,0,0,1,0,0,0,1,0
40147,63.0,21.76,1,0,0,1,0,0,0,0,0,0,0,1
14903,83.0,67.35,1,1,0,0,0,1,0,1,0,0,0,0
32490,56.0,19.91,0,0,0,0,1,0,0,0,0,1,0,0
501,63.0,25.3,0,1,1,0,0,0,0,0,0,0,0,1
24819,45.0,68.61,0,0,0,0,0,0,1,0,0,0,1,0
20839,13.0,12.53,1,0,0,1,0,0,1,1,0,0,0,0
42828,58.0,19.81,1,1,0,1,0,0,0,1,0,0,0,0
28913,42.0,60.06,0,1,0,1,0,1,0,0,1,0,0,0
23960,59.0,70.1,0,0,0,0,1,0,1,0,1,0,0,0
41607,23.0,18.66,1,1,0,0,0,0,0,0,0,0,0,0
20383,100.0,11.87,0,0,0,1,0,0,1,0,0,1,0,0
3723,18.0,18.1,0,0,1,0,0,0,1,0,0,1,0,0
47612,16.0,76.06,1,0,1,0,0,0,1,1,0,0,0,0
40815,99.0,25.1,0,0,0,1,0,0,1,0,0,0,0,0
6752,27.0,25.36,1,0,0,0,1,0,1,0,1,0,0,0
835,41.0,21.63,0,1,0,0,0,0,0,0,0,1,0,0
32474,97.0,70.04,0,0,0,0,0,1,0,0,0,1,0,0
29098,8.0,64.48,0,0,1,0,0,0,1,0,0,0,1,0
44986,70.0,20.01,0,1,0,0,1,0,0,0,0,1,0,0
6366,92.0,25.59,0,0,0,0,1,0,1,0,1,0,0,0
44304,37.0,16.27,0,0,0,1,0,0,1,0,1,0,0,0
37034,64.0,73.46,1,0,0,0,1,0,1,1,0,0,0,0
35696,48.0,23.62,0,0,0,0,1,0,0,0,0,0,1,0
39993,41.0,23.42,1,1,0,1,0,0,0,0,1,0,0,0
29371,30.0,80.28,0,1,0,0,0,0,0,0,0,0,0,0
24992,1.0,21.46,0,1,1,0,0,1,0,0,0,1,0,0
10222,2.0,16.66,0,0,1,0,0,0,1,0,0,0,1,0
37102,87.0,20.34,0,0,0,0,0,0,1,0,0,1,0,0
15761,32.0,25.84,0,0,1,0,0,0,1,0,0,0,0,0
39970,31.0,19.4,0,1,1,0,0,1,0,0,0,0,1,0
17017,72.0,25.96,0,1,0,1,0,1,0,1,0,0,0,0
4780,8.0,20.28,0,1,0,0,1,0,0,0,0,1,0,0
32117,31.0,57.32,0,1,1,0,0,0,0,0,0,1,0,0
2000,100.0,71.08,0,0,0,0,0,0,1,0,0,0,0,1
12058,95.0,11.36,0,1,0,0,1,0,0,0,0,1,0,0
12381,93.0,57.5,0,0,0,0,1,0,1,1,0,0,0,0
4006,89.0,60.44,0,0,1,0,0,0,1,0,0,0,0,1
11860,76.0,22.57,0,1,1,0,0,1,0,0,0,0,0,1
15037,33.0,69.16,0,1,1,0,0,1,0,0,0,0,1,0
41512,62.0,26.31,0,0,0,1,0,0,1,0,0,0,0,1
15042,49.0,25.37,0,1,0,0,0,0,0,0,1,0,0,0
5889,51.0,22.54,1,0,0,0,1,0,1,0,0,0,0,1
13701,62.0,70.32,0,0,1,0,0,0,1,0,0,0,0,0
16273,6.0,22.28,0,0,0,0,0,0,1,0,0,1,0,0
11495,91.0,74.9,0,0,0,0,0,0,1,0,0,1,0,0
4182,46.0,22.2,0,1,0,0,0,0,0,0,0,0,1,0
31399,50.0,64.3,0,1,0,0,0,0,0,0,1,0,0,0
13626,26.0,62.24,0,0,0,0,1,0,1,0,0,0,1,0
34752,80.0,16.29,0,1,0,1,0,1,0,0,0,0,1,0
47722,36.0,19.1,1,1,1,0,0,0,0,1,0,0,0,0
38794,81.0,66.57,1,1,0,1,0,1,0,0,0,0,0,0
46885,19.0,66.62,1,0,0,0,0,0,1,0,1,0,0,0
46710,36.0,22.06,0,0,0,0,0,0,1,0,0,0,0,1
44782,17.0,25.15,0,0,0,0,0,0,1,0,1,0,0,0
36560,28.0,22.91,1,0,1,0,0,0,1,0,0,0,1,0
30063,15.0,22.03,0,1,1,0,0,1,0,1,0,0,0,0
10604,22.0,67.79,0,1,1,0,0,1,0,0,0,1,0,0
38384,53.0,89.22,0,0,0,0,0,0,0,0,0,1,0,0
43795,23.0,14.97,1,0,0,1,0,0,1,1,0,0,0,0
5504,55.0,75.26,1,0,0,0,1,1,0,0,0,0,1,0
28736,89.0,15.32,0,0,0,0,0,0,1,0,0,0,1,0
26036,73.0,16.92,0,1,0,0,0,0,0,0,0,0,0,1
48123,39.0,24.11,0,1,0,0,0,0,0,0,0,0,1,0
9117,81.0,71.17,0,1,1,0,0,1,0,0,0,1,0,0
29479,10.0,14.69,1,0,0,1,0,0,1,0,0,1,0,0
46808,73.0,27.93,1,0,0,0,0,0,1,0,1,0,0,0
30273,28.0,20.52,1,1,0,0,1,0,0,0,1,0,0,0
