,email_open_rate,time_in_product_mins,country_AU,devices_Desktop,referrer_channels_Direct,referrer_channels_None,referrer_channels_Organic,campaigns_au_nz_eofy,campaigns_au_nz_mobile_product_launch,industries_Construction,industries_Education,industries_Finance,industries_Healthcare,industries_Hospitality
0,81.0,19.39,0,0,0,0,1,0,1,0,0,1,0,0
1,26.0,24.97,1,0,0,0,1,0,1,0,0,1,0,0
2,99.0,16.65,1,0,0,0,1,1,0,0,0,0,1,0
3,73.0,25.26,1,0,0,0,0,0,1,1,0,0,0,0
4,46.0,73.54,0,0,0,0,0,0,1,0,0,1,0,0
5,32.0,63.02,1,0,0,1,0,0,1,0,0,1,0,0
6,56.0,74.73,0,1,0,1,0,0,0,0,0,1,0,0
7,65.0,13.64,0,0,0,0,1,0,1,0,0,1,0,0
8,9.0,8.05,0,0,0,1,0,0,1,0,0,0,1,0
9,41.0,21.52,0,0,0,0,0,0,1,0,1,0,0,0
10,86.0,69.39,0,0,0,0,0,0,1,0,1,0,0,0
11,24.0,73.49,0,1,0,1,0,0,0,0,0,0,0,0
12,43.0,23.14,0,1,1,0,0,1,0,0,0,0,0,0
13,66.0,19.95,0,0,0,0,0,0,1,0,1,0,0,0
14,76.0,21.01,0,1,0,0,1,1,0,0,1,0,0,0
15,46.0,70.77,1,1,1,0,0,0,0,0,0,1,0,0
16,36.0,15.71,0,0,0,0,0,0,1,1,0,0,0,0
17,32.0,70.17,0,1,0,0,1,1,0,1,0,0,0,0
18,7.0,71.68,0,1,0,0,1,0,0,0,0,0,0,1
19,61.0,19.87,0,0,1,0,0,0,1,0,0,1,0,0
20,56.0,78.03,0,1,0,0,1,1,0,1,0,0,0,0
21,37.0,22.66,0,0,0,0,0,0,1,0,1,0,0,0
22,67.0,73.37,0,0,0,0,1,0,1,0,0,0,1,0
23,90.0,13.38,0,0,0,0,0,0,1,0,0,0,0,1
24,93.0,88.49,0,0,0,0,1,0,1,0,1,0,0,0
25,87.0,16.26,0,1,0,0,1,1,0,0,0,0,1,0
