,email_open_rate,time_in_product_mins,country_AU,devices_Desktop,referrer_channels_Direct,referrer_channels_None,referrer_channels_Organic,campaigns_au_nz_eofy,campaigns_au_nz_mobile_product_launch,industries_Construction,industries_Education,industries_Finance,industries_Healthcare,industries_Hospitality
0,32.0,21.06,0,1,0,0,0,0,0,1,0,0,0,0
1,26.0,20.39,0,0,0,0,0,0,1,0,0,0,1,0
2,33.0,16.38,0,0,0,0,0,0,1,1,0,0,0,0
3,13.0,78.48,0,0,1,0,0,0,1,0,0,0,1,0
4,53.0,16.02,0,0,0,0,1,0,0,1,0,0,0,0
5,30.0,66.79,0,0,0,0,0,0,1,1,0,0,0,0
6,90.0,75.22,1,1,1,0,0,1,0,0,0,0,0,0
7,50.0,75.07,1,1,0,0,0,0,0,0,0,0,1,0
8,58.0,21.35,0,1,1,0,0,1,0,0,0,0,0,0
9,69.0,8.29,0,1,0,1,0,1,0,0,0,0,1,0
10,74.0,27.36,0,0,0,0,0,0,1,0,0,0,0,1
11,35.0,71.72,0,0,0,0,1,1,0,0,0,0,1,0
12,65.0,21.79,0,1,0,0,0,1,0,1,0,0,0,0
13,1.0,23.38,0,0,0,0,0,0,1,0,0,1,0,0
14,12.0,60.21,0,1,1,0,0,0,0,0,0,0,0,1
15,77.0,79.4,0,0,1,0,0,0,1,0,0,0,0,1
16,44.0,11.56,0,1,1,0,0,0,0,1,0,0,0,0
17,64.0,20.52,0,0,1,0,0,0,1,0,0,0,1,0
18,75.0,18.15,1,0,1,0,0,0,1,1,0,0,0,0
19,59.0,20.84,0,1,0,0,1,1,0,0,0,0,1,0
20,12.0,20.11,0,1,0,0,0,0,0,0,0,0,1,0
21,29.0,21.31,1,0,0,1,0,0,1,0,0,1,0,0
22,11.0,21.34,1,0,0,0,1,0,1,0,0,0,1,0
23,87.0,23.68,0,1,0,0,0,0,0,0,0,1,0,0
24,37.0,16.73,0,0,0,0,0,1,0,0,0,1,0,0
25,89.0,19.08,1,1,1,0,0,1,0,0,0,0,0,1
26,66.0,68.79,1,0,0,0,0,1,0,0,0,0,0,1
27,29.0,26.43,0,0,1,0,0,0,1,1,0,0,0,0
28,49.0,27.15,0,1,1,0,0,0,0,0,0,1,0,0
29,44.0,18.51,1,1,0,1,0,1,0,0,1,0,0,0
30,38.0,20.32,0,1,0,0,0,1,0,0,0,1,0,0
31,30.0,74.95,0,1,0,0,1,1,0,0,0,1,0,0
32,9.0,26.85,0,1,0,0,0,1,0,1,0,0,0,0
33,74.0,27.32,0,1,0,1,0,0,0,0,0,1,0,0
34,2.0,23.18,0,1,0,1,0,0,0,1,0,0,0,0
35,64.0,77.85,0,0,1,0,0,0,1,1,0,0,0,0
36,11.0,45.71,0,0,1,0,0,0,0,0,1,0,0,0
37,36.0,24.62,1,1,0,0,1,1,0,0,0,1,0,0
38,37.0,77.52,0,0,0,1,0,0,1,0,0,1,0,0
39,66.0,20.19,0,0,0,0,1,0,1,1,0,0,0,0
40,96.0,13.67,0,0,1,0,0,0,1,1,0,0,0,0
41,38.0,20.84,0,0,0,0,0,0,1,0,0,0,0,1
42,56.0,24.88,0,1,0,0,0,1,0,1,0,0,0,0
43,46.0,22.21,0,1,1,0,0,1,0,0,0,1,0,0
44,17.0,20.32,1,1,0,0,0,1,0,0,1,0,0,0
45,92.0,23.33,1,0,1,0,0,0,1,1,0,0,0,0
46,77.0,20.23,0,1,0,0,0,1,0,0,0,0,0,0
47,93.0,21.84,1,0,0,0,1,0,1,0,0,1,0,0
48,63.0,20.22,0,0,0,0,1,0,1,0,0,1,0,0
49,9.0,26.18,0,0,1,0,0,0,1,0,0,1,0,0
50,58.0,21.69,1,0,0,0,0,0,1,0,0,0,1,0
51,66.0,18.2,0,0,1,0,0,0,1,0,0,0,1,0
52,29.0,68.27,0,1,1,0,0,1,0,1,0,0,0,0
53,70.0,12.45,0,0,0,1,0,0,1,0,0,0,1,0
54,83.0,18.74,0,0,1,0,0,0,1,1,0,0,0,0
55,51.0,61.98,0,1,0,0,0,1,0,0,0,1,0,0
56,39.0,53.27,0,1,0,0,0,1,0,1,0,0,0,0
57,13.0,20.69,0,0,0,0,0,0,0,1,0,0,0,0
58,43.0,19.14,0,1,0,0,1,0,0,0,0,1,0,0
59,63.0,22.61,0,1,1,0,0,1,0,1,0,0,0,0
60,66.0,13.16,1,1,0,0,1,0,0,0,0,0,0,0
61,37.0,72.91,0,0,1,0,0,0,0,0,1,0,0,0
62,48.0,19.27,0,1,0,0,0,1,0,1,0,0,0,0
63,41.0,18.57,0,1,0,0,0,1,0,1,0,0,0,0
64,14.0,16.91,1,1,1,0,0,1,0,1,0,0,0,0
65,92.0,17.4,0,0,0,0,1,0,1,1,0,0,0,0
66,28.0,74.15,0,1,0,0,0,1,0,0,0,0,0,1
67,93.0,60.5,0,1,1,0,0,1,0,0,0,1,0,0
68,7.0,24.08,0,0,0,0,0,0,1,0,0,0,1,0
69,31.0,61.08,0,1,1,0,0,0,0,0,0,0,0,1
70,11.0,18.38,0,0,0,0,1,0,1,0,1,0,0,0
71,48.0,25.88,0,0,1,0,0,0,1,1,0,0,0,0
72,47.0,16.93,1,1,1,0,0,1,0,1,0,0,0,0
73,65.0,16.76,0,0,0,0,0,1,0,1,0,0,0,0
74,89.0,27.68,1,0,0,0,0,0,1,0,0,1,0,0
75,71.0,23.29,0,0,0,0,1,0,1,0,0,0,0,1
76,69.0,13.28,0,0,0,0,1,0,1,1,0,0,0,0
77,29.0,62.77,0,1,0,0,0,0,0,0,1,0,0,0
78,52.0,21.47,1,1,0,0,0,0,0,0,0,1,0,0
79,88.0,20.24,1,1,0,0,0,0,0,0,0,0,0,0
80,99.0,61.36,0,0,0,0,1,1,0,1,0,0,0,0
81,85.0,68.26,0,0,1,0,0,0,1,0,0,0,1,0
82,35.0,73.43,0,1,0,0,1,1,0,0,0,1,0,0
83,28.0,70.11,0,1,0,0,1,1,0,0,0,0,0,1
84,75.0,13.32,0,1,1,0,0,0,0,0,0,0,1,0
85,61.0,23.17,0,1,0,0,1,0,0,0,0,0,1,0
86,40.0,19.7,1,1,0,0,0,0,0,0,0,0,1,0
87,43.0,16.71,0,0,0,0,0,1,0,0,0,0,1,0
88,41.0,74.45,0,1,0,0,1,1,0,0,1,0,0,0
89,0.0,66.77,0,1,0,1,0,0,0,1,0,0,0,0
90,24.0,84.56,0,0,0,0,0,0,1,0,0,0,0,1
91,74.0,26.42,0,1,1,0,0,1,0,0,0,1,0,0
92,57.0,57.16,0,1,0,1,0,0,0,1,0,0,0,0
93,55.0,22.31,0,0,0,0,0,0,1,1,0,0,0,0
94,97.0,21.05,0,0,0,0,0,0,1,0,0,1,0,0
95,43.0,14.56,0,1,0,0,0,0,0,0,1,0,0,0
96,57.0,14.78,0,0,0,1,0,0,1,0,1,0,0,0
97,84.0,17.86,0,0,0,0,0,0,1,1,0,0,0,0
98,62.0,69.73,1,1,0,0,1,1,0,0,0,1,0,0
99,78.0,16.52,1,0,1,0,0,1,0,0,1,0,0,0
100,62.0,15.56,0,0,0,0,0,0,1,0,0,0,0,0
