,email_open_rate,time_in_product_mins,country_AU,devices_Desktop,referrer_channels_Direct,referrer_channels_None,referrer_channels_Organic,campaigns_au_nz_eofy,campaigns_au_nz_mobile_product_launch,industries_Construction,industries_Education,industries_Finance,industries_Healthcare,industries_Hospitality
0,91.0,81.15,0,1,0,0,0,0,0,0,1,0,0,0
1,29.0,89.18,0,0,1,0,0,0,1,0,0,0,1,0
2,95.0,23.67,1,1,0,0,0,0,0,0,0,0,1,0
3,54.0,19.63,1,0,0,1,0,0,0,0,1,0,0,0
4,77.0,21.36,1,1,1,0,0,1,0,0,0,1,0,0
5,28.0,17.37,0,1,0,0,1,0,0,0,1,0,0,0
6,11.0,69.81,0,1,1,0,0,0,0,0,1,0,0,0
7,45.0,15.09,0,1,0,1,0,0,0,0,0,0,0,0
8,6.0,83.22,0,0,0,0,0,0,1,0,0,1,0,0
9,0.0,18.34,1,1,0,0,0,1,0,0,0,0,0,0
10,93.0,74.25,0,0,0,0,0,1,0,0,1,0,0,0
11,25.0,73.63,0,1,0,0,0,1,0,1,0,0,0,0
12,96.0,58.0,0,0,0,0,1,0,1,0,0,0,0,1
13,33.0,72.09,1,1,1,0,0,1,0,0,0,0,1,0
14,10.0,66.14,0,1,0,0,1,1,0,0,0,0,1,0
15,82.0,15.3,1,0,0,0,1,0,1,0,0,1,0,0
16,89.0,74.84,0,1,0,0,0,1,0,0,0,1,0,0
17,56.0,68.75,0,1,0,0,0,1,0,1,0,0,0,0
18,25.0,65.95,1,0,0,0,1,0,1,0,0,1,0,0
19,4.0,19.54,0,1,0,0,0,0,0,0,0,0,1,0
20,47.0,70.14,1,1,0,0,0,0,0,1,0,0,0,0
21,62.0,15.44,0,1,0,0,0,1,0,1,0,0,0,0
22,49.0,20.16,0,1,0,0,0,1,0,0,0,0,0,0
23,36.0,19.29,0,1,0,0,1,1,0,0,0,0,1,0
24,61.0,22.48,1,1,1,0,0,1,0,0,0,0,0,1
25,92.0,23.64,0,1,0,0,1,0,0,1,0,0,0,0
26,82.0,17.56,0,1,0,0,0,0,0,1,0,0,0,0
27,4.0,72.21,1,1,0,1,0,0,0,1,0,0,0,0
28,69.0,21.92,1,0,0,1,0,0,1,0,1,0,0,0
29,84.0,22.3,0,0,0,1,0,1,0,1,0,0,0,0
30,80.0,17.21,0,1,1,0,0,1,0,0,1,0,0,0
31,7.0,63.9,1,0,0,0,1,0,1,0,0,0,1,0
32,65.0,20.48,0,1,0,1,0,0,0,0,0,1,0,0
33,33.0,19.26,0,0,1,0,0,0,1,0,1,0,0,0
34,8.0,16.95,0,1,1,0,0,1,0,0,1,0,0,0
35,9.0,72.86,0,0,0,0,0,1,0,0,0,0,0,0
36,65.0,73.69,1,1,1,0,0,0,0,0,0,0,0,0
37,23.0,75.85,0,0,0,0,0,0,1,1,0,0,0,0
38,4.0,68.83,0,1,1,0,0,0,0,0,0,1,0,0
39,19.0,21.64,0,0,0,0,0,0,1,0,0,0,1,0
40,94.0,16.54,0,1,0,0,0,0,0,0,0,0,1,0
41,30.0,72.17,0,1,0,0,1,1,0,1,0,0,0,0
42,75.0,17.39,1,0,0,0,0,0,1,0,0,0,1,0
43,61.0,23.17,0,1,0,0,1,0,0,0,0,0,1,0
44,83.0,15.33,1,0,0,0,0,0,1,0,0,1,0,0
45,61.0,8.22,0,1,0,0,0,1,0,0,0,1,0,0
46,60.0,18.6,0,1,0,0,0,0,0,0,1,0,0,0
47,59.0,75.48,1,0,0,0,0,0,1,0,0,1,0,0
48,88.0,25.22,0,1,0,0,0,1,0,1,0,0,0,0
49,18.0,67.12,0,0,0,0,0,0,0,0,0,0,0,1
50,68.0,28.92,1,1,0,0,1,1,0,0,0,1,0,0
51,23.0,21.05,0,1,0,0,0,0,0,1,0,0,0,0
52,53.0,16.37,0,0,0,0,1,1,0,0,0,0,1,0
53,13.0,24.37,1,1,0,0,1,1,0,0,0,1,0,0
54,38.0,20.32,0,1,0,0,0,1,0,0,0,1,0,0
55,35.0,82.23,0,0,0,1,0,0,1,0,0,0,1,0
56,46.0,19.49,0,0,0,0,0,0,1,1,0,0,0,0
57,89.0,72.32,0,0,1,0,0,0,0,0,0,0,0,0
58,27.0,60.82,0,1,0,0,0,0,0,1,0,0,0,0
59,17.0,62.26,0,1,0,0,0,1,0,0,0,1,0,0
60,12.0,22.57,0,1,0,0,1,1,0,0,0,0,1,0
61,55.0,64.55,0,1,0,1,0,0,0,0,1,0,0,0
62,3.0,71.72,1,0,0,0,0,0,1,0,0,0,0,1
63,87.0,15.9,1,1,1,0,0,0,0,1,0,0,0,0
64,88.0,19.37,0,1,0,0,0,1,0,1,0,0,0,0
65,63.0,20.51,0,1,0,0,0,0,0,0,1,0,0,0
66,21.0,24.07,0,1,0,0,0,0,0,1,0,0,0,0
67,89.0,78.59,0,0,0,0,1,0,1,0,0,1,0,0
68,27.0,18.87,1,1,0,1,0,0,0,1,0,0,0,0
